track_id,title,artist,release_date,explicit,peak_rank,avg_rank,n_chart_entries,n_chart_days,n_regions_any_chart,n_regions_top200,n_regions_viral50,total_streams_top200,max_streams_top200,max_popularity,ever_top200,ever_viral50,ever_top10_top200,ever_top10_viral50,first_chart_date,af_danceability,af_energy,af_valence,af_tempo,af_loudness,af_acousticness,af_instrumentalness,af_liveness,af_speechiness,af_mode,af_key,af_time_signature
2vv85G0gGI2gwLuklvf5LX,I Never Wanna Be Like You,Liam Gallagher,2017-10-06,false,50,88.5,2,2,2,1,1,65593.0,65593.0,32.0,true,true,false,false,2017-10-06,0.545,0.689,0.462,128.965,-6.539,0.128,0.0,0.179,0.0265,0.0,8.0,4.0
7nwBrKmbJrXIV4ouevreFg,Summertime / Sometimes I Feel Like a Motherless Child,Mahalia Jackson,1956,false,48,48.0,1,1,1,0,1,0.0,,42.0,false,true,false,false,2018-02-07,0.342,0.0395,0.0958,101.335,-20.049,0.987,0.000331,0.0787,0.0395,0.0,9.0,3.0
1KVODHQf6VZfIMX3atu61V,Sans Talent,47ter,2017-04-15,false,46,48.0,2,2,1,0,1,0.0,,23.0,false,true,false,false,2018-02-07,0.631,0.544,0.619,105.327,-7.833,0.775,2.66e-06,0.0933,0.0366,1.0,4.0,4.0
7A0IJM6FR1HQphfdfN66pI,Long As I Live,Toni Braxton,2018-03-23,false,47,47.0,2,2,2,0,2,0.0,,54.0,false,true,false,false,2018-04-01,0.533,0.749,0.569,89.989,-5.106,0.0631,0.000109,0.0684,0.117,0.0,3.0,4.0
3Jxjb19MCQAygvyFeHs6TX,Believer,Cyn,2018-04-27,false,25,25.0,1,1,1,0,1,0.0,,35.0,false,true,false,false,2018-05-03,0.724,0.665,0.751,112.992,-5.312,0.722,0.0,0.194,0.0687,0.0,1.0,4.0
1pwWrPxonLIE12WWu9NzgU,Turn Blue,The Black Keys,2014-05-09,false,43,43.0,1,1,1,0,1,0.0,,51.0,false,true,false,false,2018-04-02,0.647,0.465,0.243,94.035,-10.272,0.258,0.149,0.111,0.0245,0.0,6.0,4.0
1vNfYCzcCJz0FY7MVVA9lM,Recording 15,Shannon Lay,2017-09-22,false,37,37.0,1,1,1,0,1,0.0,,7.0,false,true,false,false,2017-10-15,0.552,0.126,0.439,92.441,-18.014,0.956,0.0153,0.109,0.0306,1.0,11.0,4.0
5nJzWhlrBfn3cfDLlaAgAO,Lemonade - Ukulele Version,Jeremy Passion,2011-12-13,false,50,50.0,1,1,1,0,1,0.0,,58.0,false,true,false,false,2018-02-11,0.546,0.221,0.593,128.144,-8.915,0.868,0.0,0.0994,0.063,1.0,2.0,4.0
0q7dFxhjNNoO1VMYzZmqRo,Coming Home,Luke Andrews,2018-03-09,false,49,49.0,1,1,1,0,1,0.0,,10.0,false,true,false,false,2018-05-06,0.607,0.613,0.457,129.997,-7.958,0.134,0.000731,0.322,0.0292,1.0,5.0,4.0
3TiK56YcC4gORCMHmhtcuq,Bajo Este Sol,( Me Llamo ) Sebastián,2017-10-13,false,45,47.0,2,2,1,0,1,0.0,,15.0,false,true,false,false,2017-10-18,0.505,0.743,0.396,150.275,-7.874,0.365,0.00727,0.0756,0.103,1.0,2.0,4.0
4FGqEn07vx9pbHLGO1rLAe,El Album,Aterciopelados,1995,false,23,31.666666666666668,3,3,1,0,1,0.0,,45.0,false,true,false,false,2018-04-07,0.673,0.73,0.9739999999999999,147.992,-7.223,0.34400000000000003,0.000317,0.107,0.0309,1.0,2.0,4.0
7dg3Q2HXM5tlaV5B5KXhTr,Florecita Rockera,Aterciopelados,1995,false,27,32.5,4,4,1,0,1,0.0,,55.0,false,true,false,false,2018-04-07,0.636,0.843,0.768,80.807,-4.286,0.0194,0.0,0.109,0.064,0.0,4.0,4.0
4Lxx3i6q36Uvz9O5oR40mP,Cigarette,Jacques Higelin,1974-01-01,false,25,38.25,4,4,1,0,1,0.0,,29.0,false,true,false,false,2018-04-07,0.612,0.232,0.269,100.165,-15.005,0.153,9.87e-06,0.371,0.0789,0.0,4.0,4.0
3j5gu1GfVq3q2JcS5FoUY3,You Know That I Love You,Santana,1979-09-01,false,48,48.0,1,1,1,0,1,0.0,,22.0,false,true,false,false,2018-05-07,0.569,0.536,0.675,127.226,-12.977,0.0336,9.17e-05,0.193,0.0271,1.0,9.0,4.0
7cl760BHYHsyhKaScfk2xE,Distancias (En Vivo),Daniel F,2005-02-16,false,40,40.0,1,1,1,0,1,0.0,,26.0,false,true,false,false,2017-10-22,0.223,0.742,0.58,144.497,-9.204,0.401,0.0,0.164,0.133,1.0,6.0,4.0
57SdqPFq1LjalejwLkrGgT,7 Billion,GJan,2017-10-18,false,35,35.0,1,1,1,0,1,0.0,,15.0,false,true,false,false,2017-10-23,0.577,0.56,0.357,91.452,-5.918,0.0591,0.0,0.0879,0.0281,0.0,4.0,4.0
7vIH1wZwb5wKvgDtl8O3pP,Parasole,Natalia Szroeder,2018-03-23,false,29,34.6,5,5,1,0,1,0.0,,34.0,false,true,false,false,2018-03-26,0.9109999999999999,0.542,0.663,114.853,-6.921000000000001,0.273,0.000373,0.147,0.141,0.0,5.0,4.0
7dxWG9qRCq2NyUsNES2inQ,neverfade,The Young Escape,2018-03-23,false,34,36.5,4,4,1,0,1,0.0,,45.0,false,true,false,false,2018-03-26,0.48,0.687,0.38,91.598,-6.49,0.379,0.0,0.0741,0.047,1.0,5.0,4.0
6UwbUbGLobzMX0qNtgcvYl,Menikmati Cinta,Indra Sinaga,2018-04-18,false,45,47.0,3,3,1,0,1,0.0,,7.0,false,true,false,false,2018-06-29,0.571,0.48500000000000004,0.357,138.063,-6.482,0.284,0.0,0.133,0.0317,1.0,9.0,3.0
0Sl63NbdAPAmqk1lDqWHMY,Stupefacente,Frah Quintale,2018-06-29,false,18,20.666666666666668,3,3,1,0,1,0.0,,48.0,false,true,false,false,2018-06-29,0.636,0.8080000000000002,0.596,119.819,-6.276,0.41,0.0,0.168,0.134,1.0,4.0,4.0
2Jox4dLcdfZFPRCXSraRsh,Beauty Queen,Zuzu,2018-05-04,false,20,21.0,2,2,1,0,1,0.0,,11.0,false,true,false,false,2018-05-09,0.37,0.908,0.656,171.996,-2.877,0.0323,0.0,0.318,0.0605,1.0,10.0,4.0
3MS2wYSS7EVUhhzRZjvCQA,Sassi,Frah Quintale,2018-06-29,false,31,36.4,5,5,1,0,1,0.0,,40.0,false,true,false,false,2018-07-02,0.734,0.491,0.49399999999999994,79.983,-7.349000000000001,0.41200000000000003,0.0,0.198,0.166,0.0,11.0,4.0
6mwqRkTNnuOQuDqlALTnvg,Dulo,Alexander Diaz,2018-06-29,false,7,7.0,2,2,1,0,1,0.0,,28.0,false,true,false,true,2018-07-02,0.57,0.352,0.234,140.059,-10.682,0.358,1.27e-06,0.0716,0.031,0.0,6.0,4.0
56eRdpppqn0p93DjaoLBPe,Maybe,Russ,2017-09-22,true,46,47.0,2,2,1,0,1,0.0,,42.0,false,true,false,false,2017-10-28,0.787,0.666,0.389,143.016,-7.719,0.0704,0.0,0.0935,0.0522,0.0,9.0,4.0
05RWdJC84lPllDPGUICR4X,Lonely Together,Jasmine Thompson,2018-05-04,false,33,36.75,4,4,1,0,1,0.0,,26.0,false,true,false,false,2018-05-10,0.637,0.229,0.435,98.643,-10.539,0.94,0.0,0.105,0.0337,1.0,2.0,5.0
115yXWjEQgZLh7X7CcttYL,Why Walk a Dog?,Jack White,2018-03-23,false,41,45.5,2,2,1,0,1,0.0,,22.0,false,true,false,false,2018-03-28,0.394,0.431,0.411,156.226,-8.294,0.219,0.00732,0.143,0.111,0.0,11.0,3.0
2R4O7MgIrN35QXnyLKMFVl,Mrs.,Leon Bridges,2018-05-04,false,43,45.333333333333336,3,3,1,0,1,0.0,,52.0,false,true,false,false,2018-05-11,0.706,0.3539999999999999,0.37600000000000006,119.793,-9.592,0.4789999999999999,0.0,0.0734,0.29,1.0,6.0,3.0
0bjkhNAsp7nPk731Yg83bF,Ti attraverso,Colapesce,2017-10-27,false,39,39.0,1,1,1,0,1,0.0,,36.0,false,true,false,false,2017-10-29,0.641,0.543,0.447,126.015,-8.094,0.0206,0.0291,0.0959,0.0302,1.0,2.0,4.0
4lnAR9AH0WZoRUNsOgwHXd,Fire of Love,Jesse Jo Stark,2018-04-06,false,46,46.0,1,1,1,0,1,0.0,,45.0,false,true,false,false,2018-04-11,0.356,0.816,0.527,174.131,-3.464,0.00719,0.00103,0.757,0.039,1.0,7.0,4.0
4zU458ZW1MrDIi3AQ0h3Wt,Karolina,Sore,2008-04-24,false,21,26.0,2,2,1,0,1,0.0,,53.0,false,true,false,false,2018-04-16,0.46,0.454,0.503,90.02,-11.241,0.506,0.00169,0.0884,0.0241,1.0,0.0,4.0
4wYq5wugZDzQiMZQYG4wVB,Whole Lotta Rosie,AC/DC,1977-03-21,false,41,41.0,1,1,1,0,1,0.0,,66.0,false,true,false,false,2018-06-16,0.292,0.838,0.423,159.176,-4.459,0.0014,0.479,0.0953,0.078,1.0,9.0,4.0
6jPNXRnTy37ADxbihf56rM,Plage,Crystal Fighters,2010,false,19,19.0,1,1,1,0,1,0.0,,30.0,false,true,false,false,2018-09-12,0.689,0.831,0.291,134.04,-6.443,0.107,0.0259,0.128,0.0411,1.0,4.0,4.0
2mwnYvlLVP465u9V9wjUGj,Find Me,Kings of Leon,2016-10-14,false,23,26.4,5,5,1,0,1,0.0,,61.0,false,true,false,false,2018-09-12,0.4,0.946,0.611,161.591,-3.966,0.000136,0.853,0.155,0.0634,0.0,1.0,4.0
3bIQIx7hveYPQDdhjZ1kcq,The Getaway,Red Hot Chili Peppers,2016-06-17,false,57,57.0,1,1,1,1,0,1188.0,1188.0,58.0,true,false,false,false,2017-07-27,0.797,0.642,0.667,113.999,-8.082,0.0799,1.19e-05,0.371,0.0725,1.0,0.0,4.0
6GsP3uMCd0Dn5T37C93waZ,Sick Love,Red Hot Chili Peppers,2016-06-17,false,69,69.0,1,1,1,1,0,1008.0,1008.0,66.0,true,false,false,false,2017-07-27,0.591,0.794,0.875,147.974,-5.935,0.183,0.0,0.292,0.069,0.0,4.0,4.0
61xoLENmXdVqMnwSMfs0kz,Suvivalssi,Reijo Kallio,1980-03-27,false,42,44.5,2,2,1,0,1,0.0,,28.0,false,true,false,false,2018-06-23,0.519,0.504,0.719,79.492,-6.206,0.792,0.0,0.292,0.0311,0.0,4.0,4.0
4MW1pQQ5mMMcgNH32aPZYt,Show Me Love,Laura Mvula,2016-06-17,false,47,47.0,1,1,1,0,1,0.0,,34.0,false,true,false,false,2018-04-29,0.342,0.223,0.234,119.849,-11.289,0.767,0.000188,0.0976,0.0399,1.0,2.0,3.0
7a5RvlW5tMU0AZ4tvbGLhn,September 16,Russ,2018-07-20,false,50,50.0,1,1,1,0,1,0.0,,55.0,false,true,false,false,2018-07-26,0.679,0.376,0.321,123.352,-12.39,0.947,0.0,0.115,0.395,1.0,1.0,4.0
7LwLxil5ucG4qXcsxrkWEn,Adored,LAUREL,2018-08-24,true,47,47.0,1,1,1,0,1,0.0,,38.0,false,true,false,false,2018-09-19,0.556,0.797,0.503,95.591,-3.848,0.0677,0.0,0.277,0.0546,1.0,9.0,4.0
6daWV6mORbtTyxMmuxHuoy,What You've Put Me Through,Hank Compton,2018-01-01,false,49,49.0,1,1,1,0,1,0.0,,28.0,false,true,false,false,2018-11-08,0.438,0.488,0.272,75.071,-11.016,0.91,0.0468,0.0921,0.0351,1.0,9.0,1.0
3qjKtjRWOKyY0Itr6c0W22,Se Tudo Mudar,Diana Lima,2018-11-28,false,31,37.833333333333336,6,6,1,0,1,0.0,,28.0,false,true,false,false,2018-12-28,0.551,0.325,0.06979999999999999,79.997,-8.818,0.678,0.000699,0.10099999999999999,0.0388,0.0,9.0,4.0
2qz7KoWTLGuWuIfwqZmk4y,In Case I Fall for You,Black Sea Dahu,2018-10-12,false,44,44.0,1,1,1,0,1,0.0,,52.0,false,true,false,false,2018-10-21,0.439,0.473,0.462,152.855,-9.584,0.533,0.000306,0.133,0.0323,0.0,2.0,4.0
67aeyMdt7cgb8l9zg53Pfm,I Believe in You,Michael Bublé,2016-10-21,false,145,145.0,1,1,1,1,0,2531.0,2531.0,53.0,true,false,false,false,2017-07-30,0.612,0.744,0.527,113.009,-5.671,0.125,2.57e-06,0.0978,0.033,1.0,8.0,4.0
5K9uNT2zjbS4jnejizznKF,Qualunque cosa sia,I Segreti,2018-10-12,false,41,46.0,4,4,1,0,1,0.0,,37.0,false,true,false,false,2018-11-09,0.548,0.706,0.398,139.905,-6.045,0.0526,0.0,0.186,0.0368,0.0,9.0,4.0
65KgfO3eYAIzW4LkqC4AAS,Guardian Angel,Riverside,2018-09-28,false,48,48.0,1,1,1,0,1,0.0,,32.0,false,true,false,false,2018-10-22,0.42,0.267,0.16,149.757,-13.193,0.852,0.878,0.102,0.0292,0.0,4.0,4.0
08hU4ic3BmXofI27o0vNCY,only my railgun,fripSide,2010,false,47,47.0,1,1,1,0,1,0.0,,27.0,false,true,false,false,2019-02-02,0.57,0.998,0.341,142.989,-1.337,0.221,0.264,0.317,0.159,1.0,6.0,4.0
1hrfvLgEC9lci0kB89QEQ0,Carry On,Avenged Sevenfold,2012-09-24,false,47,48.5,2,2,1,0,1,0.0,,61.0,false,true,false,false,2018-09-26,0.471,0.985,0.14,135.063,-3.618,0.00018,4.17e-05,0.0557,0.191,1.0,2.0,4.0
3PNXXER6KUL9ayBWVqObT9,Nubes de papel (feat. IZAL) - En Estudio Uno,DePedro,2018-10-26,false,31,33.0,3,3,1,0,1,0.0,,43.0,false,true,false,false,2018-10-26,0.47,0.627,0.3459999999999999,143.995,-7.473,0.23,0.0,0.122,0.0588,0.0,7.0,4.0
77tKWPApXR23eh2kBWrNPP,Ces mots simples,Vanessa Paradis,2018-11-16,false,17,26.666666666666668,3,3,1,0,1,0.0,,41.0,false,true,false,false,2018-11-16,0.351,0.238,0.0939,119.22499999999998,-12.997,0.843,0.012000000000000002,0.09249999999999999,0.0344,1.0,1.0,4.0
5qnEUCqnD2AggpVKOqACDK,Stolen Car,Will Knox,2018-09-07,false,46,46.0,1,1,1,0,1,0.0,,41.0,false,true,false,false,2018-10-28,0.545,0.575,0.347,167.953,-6.84,0.331,0.0,0.279,0.0254,1.0,0.0,4.0
0NzsREF34BgxwKgy7tkRBb,House Key,Scott Helman,2017-05-12,false,27,27.0,1,1,1,0,1,0.0,,32.0,false,true,false,false,2018-12-12,0.658,0.326,0.442,80.054,-9.213,0.354,0.0,0.115,0.0525,1.0,8.0,4.0
069LHKgjOwo1sXUztAPHIj,hard rain,Lykke Li,2018-06-08,false,48,48.0,1,1,1,0,1,0.0,,41.0,false,true,false,false,2018-12-13,0.489,0.343,0.109,72.074,-9.991,0.678,1.8e-06,0.0516,0.0389,1.0,2.0,4.0
2QSAj76Ba6aMFX9RlXdUdO,J'ai demandé à la lune,Indochine,2002-02-28,false,47,47.0,1,1,1,0,1,0.0,,61.0,false,true,false,false,2018-12-14,0.712,0.632,0.619,109.999,-9.017,0.233,0.224,0.246,0.0237,0.0,6.0,4.0
0WHi11uzahqpEtPGYCW6oQ,If I Killed Someone For You,Alec Benjamin,2018-11-16,false,35,39.5,2,2,1,0,1,0.0,,72.0,false,true,false,false,2019-02-07,0.514,0.605,0.409,120.894,-5.363,0.774,2.91e-06,0.121,0.0337,1.0,7.0,4.0
4aaE53KrxK1dC4JgRPkZgS,Der Vogel,Joker Bra,2018-12-16,true,48,48.0,1,1,1,0,1,0.0,,41.0,false,true,false,false,2019-05-05,0.512,0.458,0.673,76.305,-8.411,0.658,0.0,0.109,0.472,1.0,5.0,4.0
16MICnFainAu6GMvlf0N5H,OUT OF CONTROL/3,FEVER 333,2019-01-18,true,50,50.0,1,1,1,0,1,0.0,,29.0,false,true,false,false,2019-03-11,0.344,0.963,0.192,139.963,-3.875,0.00627,0.0,0.145,0.383,1.0,9.0,4.0
3hO9gaVixKDoYDrlTBrEWf,Cure for Pain,Morphine,1993-09-14,false,47,47.0,1,1,1,0,1,0.0,,49.0,false,true,false,false,2018-12-19,0.585,0.571,0.533,109.161,-8.737,0.112,0.147,0.263,0.0252,1.0,2.0,4.0
4a5pNRjwmzYQuEY1E7O6pj,Breakfast In America - 2010 Remastered,Supertramp,1979-03-29,false,36,36.0,1,1,1,0,1,0.0,,74.0,false,true,false,false,2019-04-08,0.532,0.663,0.756,75.14,-5.886,0.425,1.07e-06,0.0734,0.0292,0.0,0.0,4.0
2cOE7d35PyfAh9M7DglPk0,In This Place,Julia Michaels,2018-11-15,false,36,39.6,5,5,1,0,1,0.0,,48.0,false,true,false,false,2018-12-26,0.4050000000000001,0.62,0.48,195.881,-6.806,0.0419,1.38e-05,0.10800000000000001,0.142,0.0,0.0,4.0
14mBmB265dJ0UHPLXbbM6v,Circles,Yours Truly,2019-01-17,false,44,44.0,2,2,1,0,1,0.0,,39.0,false,true,false,false,2019-02-16,0.511,0.917,0.699,166.047,-3.455,0.000137,0.0,0.107,0.085,1.0,1.0,4.0
6YdQgWSpsxhVeX6Xmv3IFJ,Cuz I Love You,Lizzo,2019-04-19,true,15,31.0,3,2,2,0,2,0.0,,58.0,false,true,false,false,2019-04-20,0.566,0.66,0.52,162.159,-4.039,0.015599999999999998,0.0,0.234,0.0479,1.0,1.0,3.0
7JvjjlZ5R1I1xRDsEkPuJ7,"Say, Can You Hear",Men I Trust,2018-11-30,false,47,47.0,1,1,1,0,1,0.0,,21.0,false,true,false,false,2019-01-24,0.623,0.403,0.49,157.912,-14.1,0.78,0.763,0.11,0.0598,0.0,6.0,4.0
4qapBKNzXkr6EXQJN9Lhwc,Incontinencia Verbal,Las Pastillas del Abuelo,2019-03-29,false,42,44.8,5,5,1,0,1,0.0,,41.0,false,true,false,false,2019-04-24,0.509,0.767,0.613,82.348,-3.819,0.124,1.74e-05,0.539,0.028100000000000003,0.0,7.0,4.0
